Device;;;;;;;
SO;Contenedor;Servidor;Nombre DNS;Tipo Hardware;Tipo General;
Ubuntu 14.04;;;;;;
Centos7;;;;;;
Ubuntu 14.04;Tomcat7;Nginx;;;;
Centos 7;;;openldap1.stic.ull.es;Virtual;VMware;
Ubuntu 14.04 LTS;;;login02.stic.ull.es;Virtual;VMware;
Ubuntu 14.04 LTS;;;mdb02.stic.ull.es;;;
Ubuntu 14.04 LTS;;;haproxy1.stic.ull.es;Virtual;VMware;
Ubuntu 14.04;Tomcat7;Nginx;;;;
Centos7;;;Openldap2;Físico;;
Centos7;;;;;;
Ubuntu 14.04 LTS;;;login01.stic.ull.es;Virtual;VMware;
Ubuntu 14.04;;;;;;
Ubuntu 14.04 LTS;;;haproxy2.stic.ull.es;Virtual;VMware;
Centos 7;;;openldap1pre.stic.ull.es;Virtual;oVirt;
Ubuntu 14.04 LTS;;;haproxy1pre.stic.ull.es;Virtual;oVirt;
Ubuntu 14.04 LTS;;;mdb02pre.stci.ull.es;Virtual;oVirt;
Ubuntu 14.04 LTS;;;login01pre.stic.ull.es;Virtual;oVirt;
Ubuntu 14.04 LTS;;;login02pre.stic.ull.es;Virtual;oVirt;
Ubuntu 14.04 LTS;;;haproxy2pre.stic.ull.es;Virtual;oVirt;
Ubuntu 14.04 LTS;;;mdb01pre.stic.ull.es;Virtual;oVirt;
Win 2008 Server Standar R2;;;db02.stic.ull.es;Físico;Blade;
ubuntu 14.04;;;mdb01;virtual;;
Windows;;;nesspreso.whatelse.com.aus;Fisico;VMWARE;
Ubuntu 12;;;usuarios1.stic.ull.es;Virtual;VMWARE;
RedHat,CENTOS,Win Server;;;pruebadefault.STIC.ULL.ES;fisico o virtual;Blade;
RedHat,CENTOS,Win Server;;;TS02.STIC.ULL.ES;fisico o virtual;Servidor Stanalone, Blade, cabina de almacenamiento, otro;
